signal,position,position_change,actual_return,gross_return,transaction_cost,net_return,cumulative_return
0,0,0,0.0007690184494574,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0006483315017979,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0087679150024207,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.002280360056689,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.00817684306315,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0035719547968932,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.003930752264879,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0018981608458526,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0048886647485869,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0045919105369056,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0025816318464844,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.004678810769726,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0055785305239021,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0039455210065213,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0021595240566195,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0049676224861427,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0005092980421569,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0005146093316292,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0011799544388008,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0031083257007854,0.0,0.0,0.0,-0.054552618045869194
0,0,0,0.0053417202402856,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0058242402756513,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0010645276243408,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.003679157388053,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.000209835240967,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0017974906068298,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0034486713435744,0.0,0.0,0.0,-0.054552618045869194
0,0,0,0.0114595978899675,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.005170882013272,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0003183967034548,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,0.0036061247528904,0.0,0.0,0.0,-0.054552618045869194
0,0,0,-0.0016295120776504,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0016673914373265,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0063719917226331,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0046577044696649,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.0006691346653069,-0.0,0.0,-0.0,-0.054552618045869194
0,0,0,-0.000849770857618,-0.0,0.0,-0.0,-0.054552618045869194
